product_code,1234,y,z
pt,24.0951,307.264,0
pt,24.1168,306.414,0
pt,24.1383,305.563,0
pt,24.1596,304.713,0
pt,24.1807,303.863,0
pt,24.2016,303.012,0
pt,24.2223,302.162,0
pt,24.2428,301.312,0
pt,24.2632,300.462,0
pt,24.2833,299.611,0
pt,24.3023,298.801,0
pt,24.3211,297.992,0
pt,24.3398,297.182,0
pt,24.3582,296.372,0
pt,24.3765,295.562,0
pt,24.3946,294.753,0
pt,24.4125,293.943,0
pt,24.4302,293.133,0
pt,24.4477,292.323,0
pt,24.465,291.513,0
pt,24.4822,290.704,0
pt,24.4991,289.894,0
pt,24.5158,289.084,0
pt,24.5324,288.274,0
pt,24.5487,287.464,0
pt,24.5648,286.655,0
pt,24.5807,285.845,0
pt,24.5964,285.035,0
pt,24.6119,284.225,0
pt,24.6272,283.415,0
pt,24.6423,282.605,0
pt,24.6572,281.796,0
pt,24.6718,280.986,0
pt,24.6862,280.176,0
pt,24.7004,279.366,0
pt,24.7144,278.556,0
pt,24.7281,277.746,0
pt,24.7416,276.936,0
pt,24.7549,276.126,0
pt,24.768,275.317,0
pt,24.7808,274.507,0
pt,24.7934,273.697,0
pt,24.8057,272.887,0
pt,24.8178,272.077,0
pt,24.8297,271.267,0
pt,24.8413,270.457,0
pt,24.8527,269.647,0
pt,24.8638,268.838,0
pt,24.8747,268.028,0
pt,24.8854,267.218,0
pt,24.8957,266.408,0
pt,24.9059,265.598,0
pt,24.9157,264.788,0
pt,24.9253,263.978,0
pt,24.9347,263.168,0
pt,24.9438,262.358,0
pt,24.9526,261.548,0
pt,24.9611,260.738,0
pt,24.9694,259.929,0
pt,24.9774,259.119,0
pt,24.9852,258.309,0
pt,24.9926,257.499,0
pt,24.9998,256.689,0
pt,25.0067,255.879,0
pt,25.0134,255.069,0
pt,25.0197,254.259,0
pt,25.0258,253.449,0
pt,25.0316,252.639,0
pt,25.0371,251.829,0
pt,25.0423,251.019,0
pt,25.0472,250.209,0
pt,25.0518,249.399,0
pt,25.0561,248.589,0
pt,25.0601,247.78,0
pt,25.0635,247.059,0
pt,25.0665,246.338,0
pt,25.0694,245.618,0
pt,25.0721,244.897,0
pt,25.0745,244.176,0
pt,25.0767,243.456,0
pt,25.0787,242.735,0
pt,25.0804,242.014,0
pt,25.082,241.294,0
pt,25.0834,240.573,0
pt,25.0845,239.852,0
pt,25.0855,239.132,0
pt,25.0863,238.411,0
pt,25.0869,237.69,0
pt,25.0873,236.969,0
pt,25.0875,236.249,0
pt,25.0876,235.528,0
pt,25.0875,234.807,0
pt,25.0872,234.087,0
pt,25.0867,233.366,0
pt,25.0861,232.645,0
pt,25.0854,231.925,0
pt,25.0844,231.204,0
pt,25.0834,230.483,0
pt,25.0822,229.763,0
pt,25.0808,229.042,0
pt,25.0793,228.321,0
pt,25.0777,227.601,0
pt,25.0759,226.88,0
